DATE,DVD_SH_12M,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,IQ_DIV_SHARE,IQ_TOTAL_REV,IQ_OPER_INC,IQ_EARNING_CO,IQ_NI,IQ_EBITDA,IQ_EBIT,IQ_BASIC_EPS_EXCL,IQ_DILUT_EPS_EXCL,IQ_DILUT_EPS_NORM,IQ_CASH_EQUIV,IQ_TOTAL_CA,IQ_TOTAL_ASSETS,IQ_TOTAL_CL,IQ_TOTAL_LIAB,IQ_BV_SHARE,IQ_TBV,IQ_TOTAL_DEBT,IQ_CASH_OPER,IQ_CAPEX,IQ_CF_SHARE,IQ_RETURN_ASSETS,IQ_RETURN_CAPITAL,IQ_RETURN_EQUITY,IQ_GROSS_MARGIN,IQ_CURRENT_RATIO,IQ_TOTAL_DEBT_CAPITAL
6/28/2013,8.8596,4.12,-14.19,8.67468,270.13182,40.23048,25.9939,26.35674,51.37752,37.47176,25.39804,25.07402,23.17411,166.26764,1061.16055,3178.85017,1386.14847,2462.80132,681.36285,332.52414,770.93624,57.61871,-16.44837,40.5903,2.9457,13.0774,14.5892,31.2063,0.76555,51.9732
9/30/2013,8.9382,4.05,-14.37,9.062,273.35569,40.35581,25.60793,25.05532,52.39088,38.01942,24.9519,24.60959,23.23915,153.14045,1088.00745,3236.60409,1407.01162,2505.95821,695.22261,339.93301,778.11962,52.17942,-17.12015,35.03262,2.9578,13.1145,14.1992,31.2054,0.77328,51.6895
12/31/2013,9.5494,3.95,-15.38,9.09926,283.22644,41.89257,27.35856,27.45898,54.89414,40.12206,26.80797,26.45059,23.96459,155.47115,1082.88686,3264.34051,1415.69576,2511.46711,718.2844,357.13078,778.17994,48.72281,-19.14173,29.26653,3.0896,13.5381,14.81,31.1669,0.76492,50.8927
3/31/2014,9.4981,4.19,-17.32,9.47337,275.1233,40.63501,25.77512,25.31636,52.70224,37.95064,25.19863,24.86939,23.66637,150.12419,1094.83401,3289.8913,1397.76143,2540.05894,719.65768,358.20625,784.72633,40.2856,-16.53887,23.51406,2.8961,12.6309,13.764,31.669,0.78328,51.2069
6/30/2014,9.8292,4.66,-14.25,9.76402,284.87491,42.25238,27.77498,27.53144,54.65972,39.73157,27.44508,27.09136,24.83155,152.4577,1107.21195,3347.27435,1416.3543,2582.4773,735.16293,371.43271,795.85659,39.53551,-17.71994,21.51062,2.986,13.1076,14.6609,31.963,0.78173,50.9951
9/30/2014,10.0599,3.55,-16.96,10.1749,285.94752,44.17554,28.15122,27.94514,56.52823,41.21305,27.83484,27.46113,25.94712,151.21795,1110.87211,3366.59515,1423.68722,2596.35258,738.81371,369.55848,802.11235,47.20769,-18.58849,28.24745,3.065,13.4109,14.6568,32.6657,0.78028,51.0134
12/31/2014,11.0296,3.87,-16.38,10.1846,289.76095,39.08412,23.5494,23.18611,54.05374,37.43687,23.08325,22.73196,21.97164,175.39383,1119.99099,3403.97038,1434.88326,2644.27229,728.88304,355.85344,819.2599,55.05228,-21.55943,33.02586,2.761,12.2148,12.2938,32.364,0.78055,51.8861
3/31/2015,10.5572,6.73,-15.58,10.56699,267.20442,39.41943,22.3842,22.01699,51.51802,35.41106,22.12591,21.79146,22.61023,148.82979,1133.13178,3438.54538,1437.64883,2676.22883,729.59226,336.00406,842.60753,33.21653,-16.89526,14.4467,2.5875,11.6599,11.7928,33.2854,0.78818,52.5014
6/30/2015,11.0321,4.43,-15.7,10.69674,275.5383,41.51896,23.59124,22.62442,54.0701,38.26212,23.21256,22.89006,24.01673,152.35142,1128.93985,3471.44235,1437.56272,2686.65014,737.01598,329.0411,851.497,42.83152,-16.88178,25.11127,2.7607,12.2942,12.2623,32.9983,0.78532,52.4568
9/30/2015,10.9061,2.86,-16.78,11.03474,276.08445,40.70647,23.82981,24.20273,55.9455,38.10252,23.50404,23.2004,23.14022,150.924,1119.63289,3480.15719,1430.73055,2702.4879,741.47731,311.1855,855.60831,57.12674,-17.49149,39.63715,2.7385,12.2433,12.2637,33.3345,0.78256,52.4111
